time,Risk
2008-05-01 09:54:00,2.241476282560976e-07
2008-05-01 09:59:00,1.7882406744406652e-07
2008-05-01 10:04:00,1.8640448031497923e-07
2008-05-01 10:09:00,1.8246936889084806e-07
2008-05-01 10:14:00,1.5021279016150197e-07
2008-05-01 10:19:00,1.4624325110829444e-07
2008-05-01 10:24:00,1.4852069528769203e-07
2008-05-01 10:29:00,1.2070618972736627e-07
2008-05-01 10:34:00,9.512379788916228e-08
2008-05-01 10:39:00,1.096035904668491e-07
2008-05-01 10:44:00,9.87801792369936e-08
2008-05-01 10:49:00,6.834986559696255e-08
2008-05-01 10:54:00,7.442359214096052e-08
2008-05-01 10:59:00,7.783544251832598e-08
2008-05-01 11:04:00,6.367968454307842e-08
2008-05-01 11:09:00,7.20232048803208e-08
2008-05-01 11:14:00,8.304944645972521e-08
2008-05-01 11:19:00,8.085993156438561e-08
2008-05-01 11:24:00,7.539015524290488e-08
2008-05-01 11:29:00,6.746894751403652e-08
2008-05-01 11:34:00,7.000874240306041e-08
2008-05-01 11:39:00,6.155967184698177e-08
2008-05-01 11:44:00,5.46024129979815e-08
2008-05-01 11:49:00,5.397831931679267e-08
2008-05-01 11:54:00,5.531120441609425e-08
2008-05-01 11:59:00,4.99166845788422e-08
2008-05-01 12:04:00,4.478905212954188e-08
2008-05-01 12:09:00,3.8485182759955944e-08
2008-05-01 12:14:00,5.2121164798164003e-08
2008-05-01 12:19:00,5.020375827830693e-08
2008-05-01 12:24:00,4.430955498989526e-08
2008-05-01 12:29:00,4.425068466238934e-08
2008-05-01 12:34:00,4.992381489748962e-08
2008-05-01 12:39:00,4.979299852391986e-08
2008-05-01 12:44:00,6.230673906663809e-08
2008-05-01 12:49:00,6.562252626481215e-08
2008-05-01 12:54:00,7.455430642202497e-08
2008-05-01 12:59:00,7.007571012075844e-08
2008-05-01 13:04:00,5.515217464857454e-08
2008-05-01 13:09:00,6.291005665370068e-08
2008-05-01 13:14:00,4.66020580673623e-08
2008-05-01 13:19:00,9.15333273331897e-08
2008-05-01 13:24:00,9.161822062092234e-08
2008-05-01 13:29:00,8.454978858424566e-08
2008-05-01 13:34:00,7.22663486904501e-08
2008-05-01 13:39:00,5.991064130342309e-08
2008-05-01 13:44:00,3.498483716382556e-08
2008-05-01 13:49:00,3.1249957588430025e-08
2008-05-01 13:54:00,3.1535215104557585e-08
2008-05-01 13:59:00,2.7125258055426536e-08
2008-05-01 14:04:00,3.0921539199557554e-08
2008-05-01 14:09:00,2.7848045699203857e-08
2008-05-01 14:14:00,2.7051045312615614e-08
2008-05-01 14:19:00,2.0094041542850533e-08
2008-05-01 14:24:00,2.1530765408954846e-08
2008-05-01 14:29:00,2.7020973517164832e-08
2008-05-01 14:34:00,3.578435072234338e-08
2008-05-01 14:39:00,3.433405260369164e-08
2008-05-01 14:44:00,2.928549859540142e-08
2008-05-01 14:49:00,3.131439058461151e-08
2008-05-01 14:54:00,3.1180619948555114e-08
2008-05-01 14:59:00,4.1461883920501604e-08
2008-05-01 15:04:00,4.5875338116005166e-08
2008-05-01 15:09:00,4.768635632017651e-08
2008-05-01 15:14:00,4.4649834963073364e-08
2008-05-01 15:19:00,4.756662539404525e-08
2008-05-01 15:24:00,5.4068613963950485e-08
2008-05-01 15:29:00,5.655469665354192e-08
2008-05-01 15:34:00,5.2956955347654606e-08
2008-05-01 15:39:00,5.914146924406082e-08
2008-05-01 15:44:00,7.557293333459474e-08
2008-05-01 15:49:00,7.189645056055493e-08
2008-05-01 15:54:00,7.892976294238992e-08
2008-05-01 15:59:00,8.672204350923836e-08
2008-05-02 09:33:00,5.989248362768844e-07
2008-05-02 09:38:00,4.5464213510798703e-07
2008-05-02 09:43:00,4.56050131346425e-07
2008-05-02 09:48:00,2.7288087867654507e-07
2008-05-02 09:53:00,2.1273274561644742e-07
2008-05-02 09:58:00,1.6944175639571233e-07
2008-05-02 10:03:00,2.0412846476114794e-07
2008-05-02 10:08:00,2.638972281284269e-07
2008-05-02 10:13:00,2.635806786979195e-07
2008-05-02 10:18:00,3.1652771535083217e-07
2008-05-02 10:23:00,3.273237782954569e-07
2008-05-02 10:28:00,3.2257891225296755e-07
2008-05-02 10:33:00,1.467458154989389e-07
2008-05-02 10:38:00,1.1726759094478759e-07
2008-05-02 10:43:00,9.816858785603449e-08
2008-05-02 10:48:00,1.0712364874158564e-07
2008-05-02 10:53:00,1.0978847715014734e-07
2008-05-02 10:58:00,9.971300438536627e-08
2008-05-02 11:03:00,6.193556125502634e-08
2008-05-02 11:08:00,7.725980988542539e-08
2008-05-02 11:13:00,7.849297226380054e-08
2008-05-02 11:18:00,5.7947299779141796e-08
2008-05-02 11:23:00,5.2795343624155984e-08
2008-05-02 11:28:00,4.980862250480532e-08
2008-05-02 11:33:00,5.3235722519147696e-08
2008-05-02 11:38:00,4.906330855084944e-08
2008-05-02 11:43:00,4.667671349335641e-08
2008-05-02 11:48:00,4.6655896624155224e-08
2008-05-02 11:53:00,4.381035455843954e-08
2008-05-02 11:58:00,4.1498933663238896e-08
2008-05-02 12:03:00,6.743388132324602e-08
2008-05-02 12:08:00,8.605774900722644e-08
2008-05-02 12:13:00,8.445766528362136e-08
2008-05-02 12:18:00,7.729262740118126e-08
2008-05-02 12:23:00,7.719623830565041e-08
2008-05-02 12:28:00,7.19704261125397e-08
2008-05-02 12:33:00,6.779423314121281e-08
2008-05-02 12:38:00,6.351283997738717e-08
2008-05-02 12:43:00,6.0885050711878e-08
2008-05-02 12:48:00,5.697062375457512e-08
2008-05-02 12:53:00,5.64642776987424e-08
2008-05-02 12:58:00,5.461140538462132e-08
2008-05-02 13:03:00,5.0932365724222503e-08
2008-05-02 13:08:00,4.188404255687024e-08
2008-05-02 13:13:00,4.081974826583923e-08
2008-05-02 13:18:00,4.8094166366455484e-08
2008-05-02 13:23:00,4.68575959301271e-08
2008-05-02 13:28:00,4.7063972493088386e-08
2008-05-02 13:33:00,3.458405613052815e-08
2008-05-02 13:38:00,3.346373232233768e-08
2008-05-02 13:43:00,3.146997638459872e-08
2008-05-02 13:48:00,3.3933213859223e-08
2008-05-02 13:53:00,3.5469413900942e-08
2008-05-02 13:58:00,3.6697294051279456e-08
2008-05-02 14:03:00,3.938211331705798e-08
2008-05-02 14:08:00,5.2003079326705016e-08
2008-05-02 14:13:00,5.55949441305752e-08
2008-05-02 14:18:00,5.274120000399867e-08
2008-05-02 14:23:00,6.40507312462825e-08
2008-05-02 14:28:00,6.765026083981937e-08
