time,Risk
2008-02-01 09:30:00,2.882047652892451e-07
2008-02-01 09:35:00,3.456185984255793e-07
2008-02-01 09:40:00,3.9275728590538433e-07
2008-02-01 09:45:00,3.827130992828619e-07
2008-02-01 09:50:00,3.974726968060057e-07
2008-02-01 09:55:00,3.7854273261961266e-07
2008-02-01 10:00:00,4.065934882829662e-07
2008-02-01 10:05:00,4.1590461853927044e-07
2008-02-01 10:10:00,4.0375820967801215e-07
2008-02-01 10:15:00,4.294945606587795e-07
2008-02-01 10:20:00,4.190442654860329e-07
2008-02-01 10:25:00,2.418295395835128e-07
2008-02-01 10:30:00,2.1248280981537605e-07
2008-02-01 10:35:00,2.3870083667983976e-07
2008-02-01 10:40:00,2.0640693688639577e-07
2008-02-01 10:45:00,2.0794535413113292e-07
2008-02-01 10:50:00,2.46360758077614e-07
2008-02-01 10:55:00,2.292743277799074e-07
2008-02-01 11:00:00,2.2350038703425093e-07
2008-02-01 11:05:00,1.6721736342418293e-07
2008-02-01 11:10:00,1.793247525572878e-07
2008-02-01 11:15:00,1.7432793049114137e-07
2008-02-01 11:20:00,1.6124474513883655e-07
2008-02-01 11:25:00,1.6047065431530401e-07
2008-02-01 11:30:00,1.4858393678920133e-07
2008-02-01 11:35:00,1.381800347803533e-07
2008-02-01 11:40:00,1.3076808361862033e-07
2008-02-01 11:45:00,1.260462731950697e-07
2008-02-01 11:50:00,7.698909757989131e-08
2008-02-01 11:55:00,8.132101822862545e-08
2008-02-01 12:00:00,8.016336691769117e-08
2008-02-01 12:05:00,8.119501047545355e-08
2008-02-01 12:10:00,7.710459616993267e-08
2008-02-01 12:15:00,6.374097958687844e-08
2008-02-01 12:20:00,6.620360535930539e-08
2008-02-01 12:25:00,7.275200382043752e-08
2008-02-01 12:30:00,7.746953659052395e-08
2008-02-01 12:35:00,7.533338172567841e-08
2008-02-01 12:40:00,7.233961517201704e-08
2008-02-01 12:45:00,7.02436884485558e-08
2008-02-01 12:50:00,7.62834171911999e-08
2008-02-01 12:55:00,6.900573270566955e-08
2008-02-01 13:00:00,7.275462687847732e-08
2008-02-01 13:05:00,7.15153036720117e-08
2008-02-01 13:10:00,7.58500607495455e-08
2008-02-01 13:15:00,5.1391589382522136e-08
2008-02-01 13:20:00,5.230278722251511e-08
2008-02-01 13:25:00,5.9045091176323086e-08
2008-02-01 13:30:00,4.9767775495015084e-08
2008-02-01 13:35:00,5.236196516632005e-08
2008-02-01 13:40:00,4.8666146004460906e-08
2008-02-01 13:45:00,4.431055528065617e-08
2008-02-01 13:50:00,4.1816533637998434e-08
2008-02-01 13:55:00,3.808036480199268e-08
2008-02-01 14:00:00,4.04530509043936e-08
2008-02-01 14:05:00,4.755546350711637e-08
2008-02-01 14:10:00,5.002119845648208e-08
2008-02-01 14:15:00,5.200711527820741e-08
2008-02-01 14:20:00,5.4185553169997765e-08
2008-02-01 14:25:00,5.612753223882297e-08
2008-02-01 14:30:00,5.7760150275861224e-08
2008-02-01 14:35:00,5.511991677620033e-08
2008-02-01 14:40:00,5.2812409055284297e-08
2008-02-01 14:45:00,5.535407897433041e-08
2008-02-01 14:50:00,5.4767011047501055e-08
2008-02-01 14:55:00,5.435400010252954e-08
2008-02-01 15:00:00,4.6245883429789985e-08
2008-02-01 15:05:00,4.2983660727700584e-08
2008-02-01 15:10:00,4.441086144413109e-08
2008-02-01 15:15:00,4.372371499938908e-08
2008-02-01 15:20:00,6.141723951462925e-08
2008-02-01 15:25:00,6.080790591907543e-08
2008-02-01 15:30:00,7.173229532183159e-08
2008-02-01 15:35:00,7.045860596088105e-08
2008-02-01 15:40:00,8.101959742871374e-08
2008-02-01 15:45:00,9.44625527826463e-08
2008-02-01 15:50:00,9.830267697724354e-08
2008-02-01 15:55:00,1.0418414658123891e-07
2008-02-01 16:00:00,1.0673629383189111e-07
2008-02-04 09:34:00,1.5264342317741655e-07
2008-02-04 09:39:00,1.5970860100925953e-07
2008-02-04 09:44:00,1.4839883453782962e-07
2008-02-04 09:49:00,1.1708393350256263e-07
2008-02-04 09:54:00,1.1610037437222248e-07
2008-02-04 09:59:00,1.0148289952166786e-07
2008-02-04 10:04:00,1.0860468469048017e-07
2008-02-04 10:09:00,1.0769427202189544e-07
2008-02-04 10:14:00,9.309550110533812e-08
2008-02-04 10:19:00,9.13673895008044e-08
2008-02-04 10:24:00,1.0349866253337817e-07
2008-02-04 10:29:00,9.950509211440626e-08
2008-02-04 10:34:00,7.957792199455311e-08
2008-02-04 10:39:00,8.932273153160374e-08
2008-02-04 10:44:00,8.430394211529987e-08
2008-02-04 10:49:00,8.547130177567585e-08
2008-02-04 10:54:00,8.265708094363079e-08
2008-02-04 10:59:00,9.498190937299208e-08
2008-02-04 11:04:00,9.038416485442631e-08
2008-02-04 11:09:00,9.067069232151092e-08
2008-02-04 11:14:00,8.909489313353813e-08
2008-02-04 11:19:00,8.781756295894287e-08
2008-02-04 11:24:00,8.385145697522637e-08
2008-02-04 11:29:00,8.117856578175146e-08
2008-02-04 11:34:00,7.053230264354144e-08
2008-02-04 11:39:00,5.464660274513343e-08
2008-02-04 11:44:00,5.506458662434779e-08
2008-02-04 11:49:00,5.393174716073455e-08
2008-02-04 11:54:00,5.1397092004217724e-08
2008-02-04 11:59:00,4.810926289362519e-08
2008-02-04 12:04:00,4.8120867303330365e-08
2008-02-04 12:09:00,4.656087755073487e-08
2008-02-04 12:14:00,3.7708559046600946e-08
2008-02-04 12:19:00,3.676770924979791e-08
