time,Risk
2008-05-01 09:54:00,2.2467834641519248e-07
2008-05-01 09:59:00,1.826384964399261e-07
2008-05-01 10:04:00,1.799056280980133e-07
2008-05-01 10:09:00,1.805749181314601e-07
2008-05-01 10:14:00,1.4914150163544768e-07
2008-05-01 10:19:00,1.461259217357474e-07
2008-05-01 10:24:00,1.5074663781249912e-07
2008-05-01 10:29:00,1.1731770842427328e-07
2008-05-01 10:34:00,9.430289150715033e-08
2008-05-01 10:39:00,1.0785768073276925e-07
2008-05-01 10:44:00,9.840513962506742e-08
2008-05-01 10:49:00,6.787744061316036e-08
2008-05-01 10:54:00,7.415159290924561e-08
2008-05-01 10:59:00,7.750361271027143e-08
2008-05-01 11:04:00,6.414534181459974e-08
2008-05-01 11:09:00,7.167761155961448e-08
2008-05-01 11:14:00,8.198400659899099e-08
2008-05-01 11:19:00,8.146670744586882e-08
2008-05-01 11:24:00,7.34385086221324e-08
2008-05-01 11:29:00,6.890404195034731e-08
2008-05-01 11:34:00,7.120988007937095e-08
2008-05-01 11:39:00,6.133683151874758e-08
2008-05-01 11:44:00,5.4815811154147266e-08
2008-05-01 11:49:00,5.4348095837800796e-08
2008-05-01 11:54:00,5.728236541978149e-08
2008-05-01 11:59:00,5.163568343286357e-08
2008-05-01 12:04:00,4.574168760292352e-08
2008-05-01 12:09:00,3.932432688186175e-08
2008-05-01 12:14:00,5.2411604839589406e-08
2008-05-01 12:19:00,5.092602083380997e-08
2008-05-01 12:24:00,4.513093038760616e-08
2008-05-01 12:29:00,4.502440107549644e-08
2008-05-01 12:34:00,4.923171005732529e-08
2008-05-01 12:39:00,4.955529781445621e-08
2008-05-01 12:44:00,6.33974988609194e-08
2008-05-01 12:49:00,6.497930007700812e-08
2008-05-01 12:54:00,7.556613786941715e-08
2008-05-01 12:59:00,6.81790823792032e-08
2008-05-01 13:04:00,5.562941265301904e-08
2008-05-01 13:09:00,6.559422713334619e-08
2008-05-01 13:14:00,4.7675002647928915e-08
2008-05-01 13:19:00,9.453519414130755e-08
2008-05-01 13:24:00,9.195718465397118e-08
2008-05-01 13:29:00,8.478886648665503e-08
2008-05-01 13:34:00,7.404582166337306e-08
2008-05-01 13:39:00,5.738734753575433e-08
2008-05-01 13:44:00,3.576714251937463e-08
2008-05-01 13:49:00,2.9140241170699535e-08
2008-05-01 13:54:00,3.189852814281936e-08
2008-05-01 13:59:00,2.7281315837119908e-08
2008-05-01 14:04:00,3.1163313026362944e-08
2008-05-01 14:09:00,2.800471349056059e-08
2008-05-01 14:14:00,2.7287067269163072e-08
2008-05-01 14:19:00,1.9999230035382022e-08
2008-05-01 14:24:00,2.18019409273116e-08
2008-05-01 14:29:00,2.7209773225020543e-08
2008-05-01 14:34:00,3.519690449441452e-08
2008-05-01 14:39:00,3.3371383526511314e-08
2008-05-01 14:44:00,3.0088738730611764e-08
2008-05-01 14:49:00,3.001921924219642e-08
2008-05-01 14:54:00,3.1652311928460575e-08
2008-05-01 14:59:00,4.153645000797634e-08
2008-05-01 15:04:00,4.6383326148855853e-08
2008-05-01 15:09:00,4.726603642095639e-08
2008-05-01 15:14:00,4.4263626697217454e-08
2008-05-01 15:19:00,4.750666767254886e-08
2008-05-01 15:24:00,5.386584450553437e-08
2008-05-01 15:29:00,5.5779670753299713e-08
2008-05-01 15:34:00,5.1823071128327344e-08
2008-05-01 15:39:00,5.960559007866815e-08
2008-05-01 15:44:00,8.092790029603677e-08
2008-05-01 15:49:00,7.094735513383359e-08
2008-05-01 15:54:00,7.725045502641273e-08
2008-05-01 15:59:00,8.422923792565225e-08
2008-05-02 09:33:00,5.404677074540976e-07
2008-05-02 09:38:00,4.50388413815315e-07
2008-05-02 09:43:00,5.167781148258179e-07
2008-05-02 09:48:00,2.4996853993216066e-07
2008-05-02 09:53:00,2.297724537585363e-07
2008-05-02 09:58:00,1.8433770882189594e-07
2008-05-02 10:03:00,2.1411990127978152e-07
2008-05-02 10:08:00,2.653376693982497e-07
2008-05-02 10:13:00,2.823483644969693e-07
2008-05-02 10:18:00,3.1047518549270193e-07
2008-05-02 10:23:00,3.0032823533013246e-07
2008-05-02 10:28:00,3.026431606566033e-07
2008-05-02 10:33:00,1.444753698196117e-07
2008-05-02 10:38:00,1.1797159676026937e-07
2008-05-02 10:43:00,1.0053660568600167e-07
2008-05-02 10:48:00,1.081494157281909e-07
2008-05-02 10:53:00,1.0794668475891659e-07
2008-05-02 10:58:00,9.686836012604883e-08
2008-05-02 11:03:00,6.443604311881213e-08
2008-05-02 11:08:00,7.501966101618779e-08
2008-05-02 11:13:00,7.431567048422631e-08
2008-05-02 11:18:00,5.990445825050069e-08
2008-05-02 11:23:00,5.302154437407835e-08
2008-05-02 11:28:00,5.0080939958994286e-08
2008-05-02 11:33:00,5.156667656039282e-08
2008-05-02 11:38:00,4.901847766739963e-08
2008-05-02 11:43:00,4.4522482399328675e-08
2008-05-02 11:48:00,4.539423865138904e-08
2008-05-02 11:53:00,4.4149624215846144e-08
2008-05-02 11:58:00,4.1550994181081904e-08
2008-05-02 12:03:00,6.634638236397249e-08
2008-05-02 12:08:00,8.626044245876556e-08
2008-05-02 12:13:00,8.613862985868337e-08
2008-05-02 12:18:00,7.750008616671257e-08
2008-05-02 12:23:00,7.788146957354568e-08
2008-05-02 12:28:00,7.10025101756316e-08
2008-05-02 12:33:00,6.667961069261987e-08
2008-05-02 12:38:00,6.345076757372025e-08
2008-05-02 12:43:00,6.04794661915698e-08
2008-05-02 12:48:00,5.711226074290076e-08
2008-05-02 12:53:00,5.712885945789697e-08
2008-05-02 12:58:00,5.5686331570226825e-08
2008-05-02 13:03:00,4.970323050786121e-08
2008-05-02 13:08:00,4.248426615949069e-08
2008-05-02 13:13:00,4.1223907436217586e-08
2008-05-02 13:18:00,4.775806062585915e-08
2008-05-02 13:23:00,4.8579655853337256e-08
2008-05-02 13:28:00,4.597983525140068e-08
2008-05-02 13:33:00,3.3615051682987216e-08
2008-05-02 13:38:00,3.323014498601977e-08
2008-05-02 13:43:00,3.186410890493046e-08
2008-05-02 13:48:00,3.456344523014403e-08
2008-05-02 13:53:00,3.524390527615335e-08
2008-05-02 13:58:00,3.762410778452382e-08
2008-05-02 14:03:00,3.982089633533224e-08
2008-05-02 14:08:00,5.445420062438113e-08
2008-05-02 14:13:00,5.532261518365539e-08
2008-05-02 14:18:00,5.267761912017399e-08
2008-05-02 14:23:00,6.63051060454297e-08
2008-05-02 14:28:00,7.042784129274979e-08
2008-05-02 14:33:00,8.935040684179686e-08
2008-05-02 14:38:00,1.1395649408114645e-07
2008-05-02 14:43:00,1.2045254254353038e-07
2008-05-02 14:48:00,5.5822102410560365e-08
2008-05-02 14:53:00,5.740412813465111e-08
2008-05-02 14:58:00,5.839381259191694e-08
2008-05-02 15:03:00,6.071719590774976e-08
