time,C.N,EMC.N,HPQ.N,MDT.N,MO.N,NKE.N,PG.N,RTN.N,SO.N,TWX.N,WFC.N
2008-02-01 09:30:00,-0.20656049481055083,-0.01383604927029658,-0.1623308275819311,0.44161196469299285,0.28248495589048717,0.1480159566654402,0.17250000548713582,0.15635422572957466,0.10432750996604634,0.12643657301129793,-0.04900381978019709
2008-02-01 09:35:00,-0.172550699210292,0.012224468653480454,-0.04585515143965492,0.31140676541613926,0.1877077611122053,0.08893102856828075,0.28595890308512245,0.20461039783680618,0.19708769449235625,-0.054445360996593785,-0.01507580751785026
2008-02-01 09:40:00,-0.15616701714411507,0.04394551720647131,-0.003577163156155582,0.17035150171997895,0.2095713064164537,0.08592516225852062,0.3089834764823724,0.21400124607322016,0.20053809902929773,-0.06300205917611691,-0.01057006970992685
2008-02-01 09:45:00,-0.14482819476042252,0.030011012064909998,-0.020841435184641165,0.15486595793900837,0.2167143739876234,0.08277878377004781,0.3234555436500401,0.22041223490288217,0.20083199511592104,-0.0626034767939515,-0.0007967946914175623
2008-02-01 09:50:00,-0.1277984853296269,0.04182097378665034,-0.009107277039938647,0.16325084293034542,0.2144346791840294,0.08784162619624507,0.27168184296279124,0.22537206838403764,0.19684071856498203,-0.05619965656939157,-0.008137333070124394
2008-02-01 09:55:00,-0.11130619876947098,0.05430891560614402,0.004760978871315154,0.15811292302538252,0.21359903280172143,0.08305484977300118,0.23430421037747773,0.21499324880709345,0.20097019358745655,-0.052251203586037145,-0.000546950494083889
2008-02-01 10:00:00,-0.09313787372825179,0.059672718148948006,0.011025238859394798,0.16576039166942158,0.21648849338557385,0.07599932046850998,0.22036239814012498,0.19832283685515475,0.18843979618945678,-0.04831134922552768,0.005378029237194689
2008-02-01 10:05:00,-0.11084011565374192,0.06410523437740474,-0.0030424980833810107,0.15482104611119157,0.20446839274189685,0.08378303288351935,0.23347660010952823,0.22354985191698387,0.2034177123630964,-0.051640515645420354,-0.0020987411210777987
2008-02-01 10:10:00,-0.12386238526531261,0.06218468268392244,0.0009105173768573159,0.14603230427605735,0.2113938260644615,0.06553969843309382,0.2635455328319347,0.22992285164166582,0.1932889246375664,-0.04870965465241063,-0.0002462980278359778
2008-02-01 10:15:00,-0.07574197720428522,0.06613478743115414,0.0076345810744233725,0.1810019567018481,0.21629149751778848,0.09126916027991733,0.13816230876402782,0.2296116090066228,0.21331909912894567,-0.05746160377820297,-0.010221418922239253
2008-02-01 10:20:00,-0.0735633416728175,0.06202251184654063,0.0024059814703524134,0.17857550191407937,0.21707421049680511,0.08025776087389984,0.13236938020184405,0.2385271606978125,0.2246908023056384,-0.05475047764798156,-0.007609490486173181
2008-02-01 10:25:00,-0.018927113621779998,0.09373383844061235,0.030983221148080643,0.1390964929160507,0.15104351105998456,0.03767291912239474,0.09680571768893317,0.38077718505615055,0.12869752914220797,-0.03979040346869581,-9.289748393856568e-05
2008-02-01 10:30:00,-0.020212042701909266,0.11099990816402187,0.04822861589305542,0.1447647047133126,0.13626918373875624,0.05717237532123823,0.09296610632261079,0.3282373867206392,0.15971249455506872,-0.044752934466189984,-0.01338579826060398
2008-02-01 10:35:00,-0.03232896029184078,0.06148260156335366,0.015420293701811685,0.1523159160078506,0.2103044796711056,0.12739607616508203,0.05269469033167163,0.3241812632688019,0.15473122901328584,-0.027859612488140978,-0.03833797694298151
2008-02-01 10:40:00,-0.024598927019213044,0.050867958072605024,0.027776218151639744,0.35989328977961266,0.15343621233375496,0.052648900216686244,0.01649728849189272,0.24725476436828636,0.1517684249873139,-0.012887908055613526,-0.022656221326965265
2008-02-01 10:45:00,-0.02702006022802977,0.04034873544932619,0.03774910666687772,0.4095941598835918,0.19014172212557953,0.04606346439680382,-0.01258195322614986,0.2126939133856495,0.1494718063869231,-0.015835284813761206,-0.030625610026810673
2008-02-01 10:50:00,-0.04030038728941129,0.0709050690102178,0.024556417817593164,0.36967341707541335,0.21222873207999243,0.07043342529794226,0.011137236593664203,0.19431784695832494,0.14840522789827096,-0.018855435479837566,-0.04250154996217007
2008-02-01 10:55:00,-0.03874076793956382,0.036767674457407175,0.011903703795919545,0.4169579706644995,0.23762609311525798,0.045517111880208995,0.022399581603677794,0.20896062325103504,0.12875727698183087,-0.026376741969171637,-0.04377252584110125
2008-02-01 11:00:00,-0.04178747406096937,0.023357344643619042,0.012626456688976438,0.3921416550222552,0.25352855736297614,0.04756450807045478,0.029036778806749944,0.2002581904624849,0.1472712160574326,-0.019845075712973587,-0.04415215734100605
2008-02-01 11:05:00,-0.03281143288902956,0.008923135631636488,0.02498696584591544,0.37207281455509983,0.2871890822904038,0.043553603051226006,0.03371417300858648,0.14249214383199252,0.15292290787680002,0.0068307279641265884,-0.03987412116675706
2008-02-01 11:10:00,-0.03716562864364175,0.0012730686563202493,0.026569822618847813,0.4115936387850465,0.10224950745087272,0.033805039263376274,0.05327152240673034,0.14538104274020425,0.30294711370897104,-0.002324255768199811,-0.037600871218527517
2008-02-01 11:15:00,-0.04848755479114976,-0.00806727342998376,0.03309649715549019,0.32413314216497924,0.09449704925189965,0.018416843609381922,0.1623345451311796,0.1268236313396645,0.3395247109737398,-0.007334866630344512,-0.03493672477485679
2008-02-01 11:20:00,-0.046722026123269145,-0.00933288275314838,0.029562684203575645,0.31696784229737723,0.05420833181709383,0.015600449661070733,0.16248284308057218,0.13011709600934887,0.37291226342121564,0.006909771901391108,-0.0327063735152277
