,C.N,EMC.N,HPQ.N,MDT.N,MO.N,NKE.N,PG.N,RTN.N,SO.N,TWX.N,WFC.N
0,0.00011181052375464805,5.917916413990448e-06,0.00017027379492443333,6.563038470546012e-05,8.066209574214503e-05,-2.4962793539941456e-05,-9.03004735595398e-05,9.174235272231285e-06,-0.00023093906838259304,6.512574384278695e-05,0.0001346586477754031
1,0.00014486646237480444,5.2365599045087824e-05,0.00029635559076450496,7.989230844933468e-05,0.00010192962586756014,2.735154100252924e-05,-5.24422885070048e-05,2.1940883735631054e-05,-0.00017090753156464376,0.00010990744065331393,0.00015784812402138838
2,0.00014044394526722406,4.266476641124496e-05,0.0003040970818374628,5.780097263211478e-05,0.0001197564335487979,3.437905568576469e-05,-7.168721728488414e-05,1.999042793784861e-05,-0.00013777514455815448,0.0001409257122313132,0.00020378779797963124
3,0.00012574423110589406,1.770630682129547e-05,0.00028022364160742297,6.877335790747818e-05,0.00011602484691987986,1.6899806617325534e-05,-0.00011073201846147883,1.6586952352462513e-05,-0.00015309973872737736,0.0001334675133890491,0.0002063491330750895
4,0.00012589653125568857,1.0347179065679757e-05,0.000238153989228761,8.449535721958774e-05,0.00010819894323517585,-2.8780046759987725e-06,-9.10501817147128e-05,1.5106765880116508e-05,-0.00012161486587169407,0.00012135970998393117,0.0002728488215188778
5,0.00010813045381537113,4.455626855579885e-05,0.0002022082161386956,0.00010318492755939657,0.00010503101528630117,-5.236290803641706e-05,-0.00010854474868591648,2.6747975030089453e-05,-0.00014239096791365225,0.00015710856791416918,0.00027471587179016266
6,0.0001852417589324613,8.501716958712943e-05,0.00025608290029795487,0.0001336757716392766,9.989646655030023e-05,-6.640990073714596e-05,-0.0001296392846882245,4.8699204772849016e-05,-9.264877286464984e-05,0.00024549089887389514,0.00033305596209860994
7,0.0002130759341433664,0.00011760526741989842,0.0002471292591939173,0.00012326388125199654,9.908681309968385e-05,3.408640535298281e-05,-7.186997441718125e-05,4.917160113153956e-05,-8.575864070708651e-05,0.0002845712936413704,0.00035017186922723336
8,0.00019017407414301056,-3.452851374515643e-05,0.000142718228553755,8.936728169508924e-05,-3.965786409346014e-05,0.00012307004773695347,-3.0637128778531036e-05,1.7494086546179228e-06,2.8329454593134253e-05,0.0002766272647705649,0.00038137385580045905
9,0.00018633826045213572,-8.479486820179983e-05,0.00012888606412730802,7.702581675750531e-05,-4.968392064465714e-05,9.717703485875588e-05,-6.681077440835146e-05,6.1061485877302254e-06,3.723871124922803e-05,0.0002801797994687377,0.000508217653110554
10,0.00017738726368030729,-4.446389039180893e-05,0.00012551509556092593,8.841159603556864e-05,-4.290201139718131e-05,0.0001226023719979997,-0.00010516686845567315,9.347919041592666e-06,-4.702022503466858e-05,0.0002877784426843019,0.0005729010813955162
11,0.00010163892969629816,-1.690648373366965e-05,0.00013019340340127792,4.489892315139339e-05,2.5043859264615102e-05,8.774198413158955e-05,-5.733943152998666e-05,-1.1717457517027654e-06,-9.422858118251851e-05,0.0003117994494765942,0.0005121918832768605
12,8.746593670275021e-05,3.5365010930104875e-05,0.00013861734724415187,1.9239940579556844e-05,-8.283631714588324e-06,0.00021652229851156082,-7.003727441554173e-05,9.798089832136573e-07,-8.204737489431184e-05,0.0002995810920754771,0.0005347191560812107
13,2.810122353084587e-05,0.00013709645080843598,9.410117030462348e-05,4.3587370316470774e-05,-6.241249179931504e-06,0.00016859461654654723,-7.87358857243181e-05,1.3641596518305507e-05,-0.0001080461063527528,0.0002911458027014888,0.00044716379041726163
14,3.239409165976949e-05,0.000207809759815644,3.631993912817166e-05,4.166322765579945e-05,-2.8456654730533295e-05,0.0001516126409549987,-9.967853226816616e-05,4.456707704035679e-06,-0.00015056496300128088,0.00024941815015434285,0.000467343415004357
15,0.0001041392904883991,0.00023614161468556784,4.687574359247895e-05,2.8661986690292636e-06,-2.7955697225289885e-05,0.00024825000641834274,-8.467067985419676e-05,8.788959579872438e-06,-0.00012876894650329973,0.0002528632495941583,0.0004714996038628084
16,0.0001237312969260706,0.0002421509344250109,0.00012856936654773884,8.959754208861756e-06,-1.680622502594561e-05,0.0002750357344893081,-7.800291079342134e-05,1.930947711347037e-05,-0.0001070259603080557,0.0002787739141351395,0.0004612380801009851
17,0.00016346441128650872,0.00023245575805453926,0.00013789033360420025,8.26535277418407e-06,-2.140531071696207e-05,0.0002710193933390996,-6.068152904817996e-05,1.3165788579545744e-05,-5.6875811233310074e-05,0.0003274670971269516,0.00043436694441052715
18,0.00011953580549864203,0.0002504021630514872,9.059480411484773e-05,1.6485876706595574e-05,-2.452670352465034e-06,0.0002422515243203454,-3.554992507126949e-05,1.3458251965013189e-05,-7.493174912804598e-05,0.00022255176396453506,0.000368391270911767
19,7.654846537659318e-05,0.00027879586885232584,0.00011772948613827824,-4.365351940489771e-06,-9.572637448683552e-06,0.0001295197642261655,-2.2009709778529847e-05,3.585200480609223e-06,-6.467230362558182e-05,0.0001496491042958281,0.00027353882225057967
20,0.00010291583772362614,0.0003081413328133005,0.00013199750090225817,-2.455428546126001e-06,-1.858219220405046e-05,0.00012273467039466783,-2.844422048842302e-05,-3.307223594262811e-07,-8.490904446149465e-05,0.00016671371603803385,0.00021054589616241058
21,7.66501508297517e-05,0.0003471301291788227,9.441057761834995e-05,-3.776037274495677e-06,-6.302096047889463e-07,0.00011075145196521314,-2.239087445561913e-06,-7.251250298117471e-07,-4.648069044692319e-05,0.00013115365721206237,0.00020463237421577106
22,6.777884688598845e-05,0.00033286333603501934,0.00010916763396328827,-6.155962651317738e-06,-1.5468695279891486e-05,0.00016773461285822598,4.002431009465534e-05,1.451310708570107e-05,-5.3027227035744645e-06,0.0001277779199496857,0.00011491862181957222
23,0.00010333262357419368,0.00032267944253682894,8.978170202973679e-05,-1.4107895978879096e-05,-2.298044653164276e-05,0.00014804480087995795,-8.66818764410108e-06,-8.185781479435771e-06,-1.5078028064196934e-06,4.03631220811776e-05,0.0001043503754550485
24,0.00013517061252094298,0.0002985938951489868,9.476997796973348e-05,3.969147572481365e-06,-2.170247816676985e-05,8.799803754486057e-05,-9.788240045997972e-06,-4.556384453910472e-06,-7.774257878941886e-06,4.736473076690545e-05,0.00015393405401647886
25,0.00011711641887298417,0.0002019569703781361,7.764957501836307e-05,-6.78245947456251e-06,-4.860942702134833e-05,9.27545962745541e-05,-1.1321829443146723e-05,-9.425919009716202e-06,-5.947638808292474e-06,1.1268009286163846e-05,0.00018718854912729122
26,9.145996394018747e-05,0.00015925662709183506,8.285146718427244e-05,4.542163445534791e-06,-8.839868656527096e-05,9.339844760088291e-05,3.1457818389085635e-06,-5.910581124846358e-07,2.6163722509834226e-06,2.0147824399528856e-05,0.00014400680197555757
27,5.466113548918152e-05,0.00015757624784780604,6.261608285508194e-05,3.512103389146603e-05,-9.972605171615133e-05,4.733544475141647e-05,-1.210566000253898e-05,1.2542033842801465e-05,-1.1081364396791952e-06,3.270112232861098e-05,0.0001549145765608992
28,7.984684799189026e-05,0.0001464672706724041,7.742585086848174e-06,3.610312616935847e-05,-9.964680017518456e-05,0.000101827712175092,-4.360754781687657e-07,1.0596185979296843e-05,3.3843300417780044e-06,4.891616521979618e-05,0.00010750205871922439
29,8.451059572276661e-05,0.00017298827238931258,5.654916564450058e-05,7.087201935159758e-05,-0.00013041135148725793,0.00012989453039596836,-2.5509440789421232e-05,1.2647920389257387e-05,-1.9786397919808737e-05,5.201029374025861e-06,0.00012348445846156934
30,5.6624007271516456e-05,0.00014625280944076158,9.079570238600523e-05,3.106656803466055e-05,-9.92292902495338e-05,0.00010679358173862817,-4.4341462113308836e-05,2.492195054231159e-06,-1.8956004264572137e-05,4.3936595165707897e-05,0.0001576499823436142
31,0.00010468194942673541,8.899733728215903e-05,3.5747582262464814e-05,4.293081719069512e-05,-9.094287279086139e-05,0.00014508004419355372,-4.358648935493855e-05,1.2324515113741883e-05,-3.739089168687628e-05,0.00010092933986011731,0.0002207549462420576
32,0.00010228754098992825,6.088608949730386e-05,6.651310196133595e-06,6.287893700823834e-05,-7.630708108286403e-05,0.00010605674773343305,-4.0644504370293387e-05,1.7362167856423264e-05,-1.3463916048601313e-05,7.982901078238849e-05,0.0002257005488756485
33,0.0001755813994594295,9.448242100709222e-05,2.5111716711558822e-05,6.887141080111399e-05,-9.08080912361307e-05,9.403020006833272e-05,-4.318995082465897e-05,2.6596146654762286e-05,-3.933239575826795e-05,8.694715669645607e-05,0.00022545570618928617
34,0.00018260095538525276,0.00011589412276856823,2.8042613188379894e-05,6.807103325624434e-05,-8.328052792848431e-05,4.7848187963072434e-05,-5.10436013561828e-05,8.671139546226134e-06,1.823872718058579e-05,8.493240060187014e-05,0.00027923373483327934
35,0.00016220625922075077,6.528069149256355e-05,5.234528896072527e-05,9.319944644360307e-05,-8.454828479923131e-05,6.829661185908648e-05,-4.7386340554177886e-05,2.0899550327749274e-05,1.688691447509619e-05,0.00010628583384443506,0.00027487876920138807
36,7.892887642503907e-05,6.528441101693714e-05,5.757251635822918e-05,0.00010636303183320308,-9.810951769123293e-05,6.061812356403989e-05,-3.8957507004195585e-05,2.9781211871427173e-05,3.225288462197139e-05,8.966018420265727e-05,0.0002199249875629122
