,Risk
1038,7.472125016048464e-08
1039,3.4233419086110865e-07
1040,7.099301561776856e-08
1041,1.4966289304317149e-07
1042,2.3478993462242638e-07
1043,6.0755166596323195e-06
1044,6.243488871438971e-08
1045,2.994431382181725e-07
1046,1.6990723443191869e-07
1047,4.0496667761572106e-08
1048,2.0767066461831034e-07
1049,9.487752661452762e-08
1050,1.2838575412194755e-07
1051,4.050055600777604e-08
1052,1.7799766231915551e-06
1053,8.294635792727604e-06
1054,2.4778380023861477e-07
1055,8.468936119278918e-07
1056,1.4523454129281936e-07
1057,3.086712904454786e-05
1058,1.1766509225783918e-05
1059,1.659317824864943e-07
1060,1.0306268950012887e-07
1061,1.657307016766798e-08
1062,5.889345733717989e-08
1063,6.222467485823534e-08
1064,1.6467994417191727e-07
1065,5.341775368767539e-07
1066,9.096053329664424e-08
1067,1.318834633781128e-07
1068,3.084532666337878e-05
1069,1.3711391131679603e-07
1070,1.5908059486685024e-07
1071,1.2443349653436988e-07
1072,1.2021379191729155e-07
1073,5.587163972002481e-06
1074,3.810176874645043e-07
1075,1.9344708042260586e-07
1076,2.2391727812957088e-07
1077,7.869321870871903e-08
1078,6.349219093106146e-07
1079,1.2066815017421238e-07
1080,6.958274040504306e-08
1081,3.762011566083207e-07
1082,1.321257463930716e-07
1083,5.7904246368335486e-08
1084,4.7107175014920257e-07
1085,1.4132327339381667e-05
1086,7.597804744064513e-08
1087,1.3899158804534077e-07
1088,1.007142088318238e-07
1089,3.016291350696344e-07
1090,2.3754023888721215e-05
1091,1.4144206633438304e-06
1092,5.824974666274103e-07
1093,4.853915150804311e-07
1094,1.0804618180371742e-06
1095,1.7100090154562544e-06
1096,4.2559626688599096e-07
1097,1.5599435020105906e-06
1098,1.8991977337603717e-07
1099,1.7331803899880462e-07
1100,5.459091331823666e-07
1101,7.764017489686002e-07
1102,2.2508310580948e-07
1103,9.382591338280581e-07
1104,1.142700560344646e-05
1105,5.699937436675986e-06
1106,1.88551332209964e-05
1107,3.7080745105442175e-07
1108,2.3054259564489466e-07
1109,1.0156608974051e-06
1110,2.928063573561317e-07
1111,2.595242384156636e-07
1112,3.727504854388768e-07
1113,8.744623537157115e-07
1114,2.1964934206840962e-07
1115,1.0690858937526868e-07
1116,2.031355704527144e-05
1117,1.0886906447922435e-06
1118,1.910813174565763e-07
1119,5.35478735796454e-08
1120,9.447737602714046e-08
1121,4.005744098952563e-07
1122,5.822964197970207e-08
1123,3.349534118906321e-07
1124,1.212539832696535e-06
1125,1.1355077955531504e-07
1126,7.64837934677423e-08
1127,7.013159537829699e-08
1128,6.417239890471495e-08
1129,4.861902583315956e-08
1130,8.084487518673771e-08
1131,7.458003748999783e-08
1132,3.520358091173967e-07
1133,5.190446831122553e-08
1134,3.0415357744247004e-07
1135,1.5787153446666496e-05
1136,9.519354710271308e-08
1137,3.053260364936474e-08
1138,3.8293894423752106e-07
1139,6.367303358911748e-08
1140,6.535351967681523e-07
1141,8.234758395648775e-08
1142,1.8756924523334304e-07
1143,8.019316645732712e-08
1144,6.82773035830675e-07
1145,4.572332934053185e-06
1146,2.544316402598309e-07
1147,1.318603271337838e-07
1148,1.339515559130448e-07
1149,1.902153615609594e-07
1150,1.1968252116072655e-07
1151,2.0218624259818273e-07
1152,1.8302117879395232e-07
1153,4.5047113652024083e-07
1154,5.102236940384996e-07
1155,2.240106622483474e-07
1156,4.118717125456899e-07
1157,7.786267957201362e-05
1158,1.1438129105611686e-06
1159,2.2396923547629117e-07
1160,1.7799667962330712e-07
1161,4.5364272363162766e-07
1162,1.7954367173219974e-07
1163,6.285492482328443e-07
1164,0.17997075276836297
1165,4.038245094677187e-07
1166,4.982031709819388e-07
1167,9.775159861776003e-07
1168,4.882756200034096e-07
1169,4.033466201156271e-06
1170,3.4287555210424193e-07
1171,3.475218353303805e-07
1172,7.422188937676722e-07
1173,5.629199018170937e-07
1174,4.4092741678101304e-07
1175,5.995796901408431e-07
1176,6.234122026217276e-07
1177,3.232892405800344e-07
1178,3.7365685298552665e-05
1179,8.820037458805677e-07
1180,2.2724833684866812e-07
1181,1.257665355214281e-07
1182,2.2239057184968453e-07
1183,1.8105154134255376e-07
1184,1.50468487261718e-07
1185,6.363134663788841e-07
1186,2.0338835592893103e-06
1187,1.214176756053608e-07
1188,3.106953499031348e-07
1189,9.629479754381115e-08
1190,1.0382486901065078e-05
1191,1.230879253555513e-07
1192,5.568287644443522e-08
1193,1.2336006841938943e-07
1194,0.0005358878203629501
1195,7.915286223478771e-08
1196,9.396210907206819e-08
1197,7.865151108105468e-08
1198,2.7397449834478245e-07
1199,1.1234546278725194e-07
1200,6.915108306039323e-08
1201,8.789634927357964e-07
1202,7.499540957069646e-08
1203,8.214070651601373e-08
1204,9.719676107047814e-08
1205,6.182702656990745e-08
1206,2.903698762928518e-07
1207,1.0785244378956284e-06
1208,1.5443288367507831e-07
1209,4.498308827095601e-08
1210,8.19114990604721e-08
1211,3.7946233107395585e-08
1212,6.853914486621116e-08
1213,3.937988641727053e-08
1214,4.991537820142789e-08
1215,5.1794042131873706e-08
1216,9.175249879439427e-06
1217,3.37296761319483e-08
1218,3.1244968370714765e-08
1219,2.8734693596830823e-08
1220,4.1586330067003786e-08
1221,1.2318518159327355e-07
1222,5.1915437364672594e-08
1223,5.506058143255743e-08
1224,6.511434346085961e-08
1225,4.941316987623292e-08
1226,6.437749512955434e-08
1227,1.1713781086303188e-07
1228,1.4114174701176777e-06
1229,1.267430756890035e-07
1230,1.227367060737978e-07
1231,1.111121573953127e-07
1232,1.8528144249366252e-07
1233,9.321113305376955e-08
1234,5.2005920302429676e-08
1235,7.893033953313693e-08
1236,7.180506081011931e-08
1237,5.711278879185907e-08
1238,6.632040656741801e-07
1239,2.270991769038629e-07
1240,9.112470758692203e-08
1241,6.220955852990456e-08
1242,3.7203202353625154e-07
1243,1.0035651262889828e-07
1244,7.339433560159124e-08
1245,1.2269220172324256e-07
1246,2.771475366106889e-07
1247,3.244796045418898e-07
1248,6.22053684582422e-07
1249,5.334270296735399e-07
1250,4.161943424439688e-06
1251,4.4334927364492683e-07
1252,6.190416078414321e-07
1253,5.565022060311535e-07
1254,1.581994940563094e-06
1255,1.030040250264018e-06
1256,9.521173579731523e-07
1257,3.833004822644902e-07
1258,4.936745577603589e-07
1259,1.5013159277968275e-05
1260,3.8737391081174646e-07
1261,2.2948699651080452e-07
1262,2.6177341012730664e-06
1263,1.4741754014021466e-07
1264,1.3700009322413748e-07
1265,1.2371224633424633e-06
1266,1.1564430735327484e-07
1267,2.134959622791045e-07
1268,2.1608793725768638e-07
1269,1.0362347071249067e-07
1270,1.4940685249662394e-07
1271,7.516545129233565e-08
1272,6.563056182001234e-08
1273,6.839617053676991e-08
1274,6.931292383248042e-08
1275,1.3403052448543822e-07
1276,9.070840521664701e-08
1277,1.8615554065649706e-07
1278,2.5671421104974646e-07
1279,7.44848443954893e-08
1280,1.4608146769858123e-07
1281,8.657186704188767e-08
1282,6.140323711754292e-08
1283,6.252114137492382e-08
1284,1.5108401772466267e-07
1285,4.077665089626791e-08
1286,3.9491073581360567e-08
1287,2.830226131131995e-08
1288,3.9509411871579195e-07
1289,4.251143592508026e-08
1290,6.974540823598499e-08
1291,4.381318214672208e-08
1292,2.460552438236292e-08
1293,5.170348919611135e-08
1294,4.865965559439743e-08
1295,2.8079665243427893e-05
1296,2.8834681264691477e-08
1297,3.343622657587169e-08
1298,5.979125157439088e-08
1299,4.851886003796273e-08
1300,1.3066721679365278e-07
1301,5.339222722166333e-08
1302,6.840921854417225e-08
1303,7.341076604512768e-08
1304,9.245140010187907e-08
1305,1.2059246869194826e-07
1306,1.621303431308881e-07
1307,2.110626265766525e-07
1308,1.6158034068698852e-07
1309,1.0565657484267457e-07
1310,1.4290018784857744e-07
1311,7.106571754886932e-08
1312,8.06869632211686e-08
1313,1.2021994715095855e-07
1314,5.732585012517052e-07
1315,1.592651266889099e-07
1316,9.965709726863516e-08
1317,2.8418449402077173e-07
1318,1.267282827477382e-07
1319,8.310804034914276e-08
1320,2.3080340313050084e-07
1321,1.302708945843906e-07
1322,8.971580190666523e-08
1323,8.371884988020852e-08
1324,0.00010165792339252684
1325,1.903713453108747e-05
1326,8.218965994556665e-06
1327,1.9168234411101868e-05
1328,8.2592706536133e-07
1329,6.223845203134247e-06
1330,5.018476900038862e-07
1331,2.192275844796629e-07
1332,4.555715087571058e-07
1333,3.25400841024513e-07
1334,4.0000616599687206e-05
1335,2.3615221532483975e-07
1336,5.544185854461124e-06
1337,2.987125451355008e-07
1338,2.2604981972242926e-07
1339,2.516167461024926e-07
1340,1.3552136393612973e-07
1341,2.9641205522772793e-06
1342,1.716084224173056e-07
1343,4.832661605550634e-07
1344,2.41144261378897e-07
1345,1.6247562509001077e-07
1346,9.874147844705294e-08
1347,7.990466311994957e-08
1348,9.44922933390001e-08
1349,9.738596947678676e-08
1350,1.8512949209037386e-07
1351,1.0008943520924136e-07
1352,9.643569005710157e-08
1353,6.814362224578765e-08
1354,6.960860177797777e-08
1355,7.48177260101705e-08
1356,1.4751282951231572e-07
1357,5.773718100598723e-08
1358,1.4354881932534375e-06
1359,6.496593286613327e-08
1360,1.5296682570208898e-07
1361,4.2258029338605576e-08
1362,1.2309042573892902e-07
1363,4.882736032097717e-08
1364,5.319291175307874e-08
1365,6.896125811381524e-08
1366,4.764675595280517e-07
1367,9.29058360921128e-08
1368,8.456648987134401e-07
1369,1.0490843736413348e-07
1370,2.719790366003389e-07
1371,3.043727808541277e-08
1372,3.033695152287097e-08
1373,3.9254354830480424e-08
1374,6.730810186808028e-08
1375,3.4498174534405406e-08
1376,1.6101625852929212e-07
1377,1.2592581354043446e-07
1378,4.046290798993543e-08
1379,5.201652542147642e-08
1380,3.134867256744482e-08
1381,4.4035790336558884e-08
1382,4.2244752574567335e-08
1383,5.2054273411049904e-08
1384,9.542439805592327e-08
1385,7.489123227390899e-08
1386,1.540570311966968e-06
1387,3.934501954637899e-07
1388,6.003691039620068e-08
1389,9.638476232096593e-08
1390,8.258897149463173e-08
1391,1.0914062801217412e-07
1392,1.2336431336909632e-07
1393,8.135243409525809e-08
1394,9.022597070041243e-08
1395,1.575909105765041e-06
1396,7.827001058833223e-08
1397,5.354054936033073e-08
1398,5.527090613862825e-08
1399,6.14345266740479e-08
1400,1.1408336159417069e-07
1401,2.5017004155322195e-07
1402,5.7556302983179583e-08
1403,5.9105258446962456e-06
1404,3.534901433340375e-07
1405,6.679390052500612e-07
1406,3.799632106252752e-07
1407,1.3562754507241544e-06
1408,2.9520406581850697e-07
1409,1.6017182784684887e-07
1410,7.779919178478633e-07
1411,2.8470405172341177e-05
1412,1.8301344677355395e-07
1413,0.0004336978982345087
1414,2.7666597420977164e-07
1415,3.559327906211713e-07
1416,2.744017242016708e-07
1417,1.6826731661520518e-07
1418,3.5155909627877417e-07
1419,4.5816201356948017e-07
1420,1.577876891920454e-07
1421,2.5436984664139033e-07
1422,3.381679874293653e-07
1423,1.3895197745071373e-07
1424,9.89887412350953e-08
1425,7.455312871001353e-07
1426,1.855482060271982e-07
1427,1.1407019957507581e-07
1428,1.0890551192002426e-07
1429,5.7498036644788e-08
1430,6.06129632427498e-08
1431,5.3785545026435395e-08
1432,6.148768351617072e-08
1433,6.04877820706386e-08
1434,1.2731494136539257e-07
1435,1.270784360262924e-07
1436,9.765748767693031e-08
1437,1.939195857004381e-07
1438,6.094100846805099e-07
1439,6.331566771744615e-05
1440,1.5546899412413705e-06
1441,2.0793028274365112e-07
1442,2.590267178741499e-07
1443,8.739491021693113e-08
1444,1.1227344045165533e-07
1445,4.6368381204179657e-07
1446,6.119882218127246e-08
1447,5.822277595379474e-07
1448,4.437811554454973e-08
1449,6.028969715627881e-07
1450,4.135975244202997e-08
1451,4.107587630350739e-08
1452,9.93076369938405e-08
1453,5.394883608589543e-08
1454,1.2380612235576828e-06
1455,8.823046986902095e-08
1456,5.683366955192043e-08
1457,3.8670976649099375e-08
1458,1.1091755615493709e-07
1459,6.44789480107418e-08
1460,4.7529442211816524e-07
1461,4.393594101917569e-08
1462,1.152222636744936e-07
1463,1.2995815253718702e-07
1464,7.24391951765534e-08
1465,8.482844874619966e-08
1466,7.032758796783086e-08
1467,9.749143972618627e-08
1468,5.078433363756933e-08
1469,7.473570237175451e-08
1470,1.3078172035394251e-07
1471,1.3244995143330318e-07
1472,7.320401268849839e-08
1473,1.1451750593190657e-07
1474,1.336531452490078e-07
1475,1.1548602490202446e-07
1476,1.8592331747778503e-07
1477,2.2776225861026551e-07
1478,1.2792958810595262e-07
1479,1.2964046997631068e-07
1480,1.9269216031023097e-07
1481,2.892532260856176e-07
1482,0.0003380985449365167
1483,1.4538835494892653e-07
1484,0.0004746272626939216
1485,3.871451309241894e-07
1486,6.169015962626476e-07
1487,2.3105043231537575e-07
1488,5.617956255911182e-07
1489,7.239310337905983e-07
1490,2.1051137349508153e-06
1491,0.0001047640200395492
1492,6.211654604007385e-07
1493,1.078175639177209e-06
1494,3.3569051218189404e-07
1495,3.2393753372260854e-07
1496,4.412827098267653e-07
1497,4.0341151353204693e-07
1498,4.0556660294470586e-07
1499,2.7989892076204585e-07
1500,2.042577473109551e-07
1501,3.570817093597197e-07
1502,2.277747200462455e-07
1503,2.6810580206079505e-07
1504,2.671248560361312e-07
1505,4.1303985095297944e-07
1506,1.3404594320080143e-07
1507,1.65870801913115e-07
1508,1.144263668717432e-07
1509,8.003276677357086e-08
1510,1.214878292179219e-07
1511,9.001585572683353e-08
1512,9.481571859531104e-08
1513,9.535991762017991e-08
1514,9.122563026609665e-08
1515,2.487571519141546e-07
1516,8.683599227539481e-08
1517,8.816441344100128e-08
1518,8.80413907349511e-08
1519,5.9262437447400125e-08
1520,8.703261176952942e-07
1521,6.22633701123192e-08
1522,5.058286677718977e-08
1523,1.9165843482176732e-07
1524,3.4370309964380434e-08
1525,7.327161775955593e-08
1526,6.749119680718444e-07
1527,1.444611169123481e-07
1528,5.352107806510298e-08
1529,5.849199657296805e-08
1530,1.3779624061354701e-07
1531,1.4113785633724967e-07
1532,5.471169035756183e-08
1533,2.401990015656797e-07
1534,5.669035101463418e-08
1535,9.796741458510175e-08
1536,6.751913248544592e-08
1537,6.794372486974798e-07
1538,1.277845695883142e-07
1539,2.504033509065472e-07
1540,9.472436012203694e-08
1541,8.39683544384668e-08
1542,5.3629553887936894e-08
1543,6.479538987749961e-08
1544,9.467839497049768e-08
1545,4.976668658873326e-07
1546,8.550463620120654e-08
1547,1.0182298778099788e-07
1548,8.193407750795987e-08
1549,1.1285182230038721e-07
1550,1.114457051782331e-07
1551,9.763458997829865e-08
1552,1.1211791808229676e-07
1553,1.2991942683633653e-07
1554,1.7524411993468226e-07
1555,1.2466483502270776e-07
1556,8.283278573836214e-08
1557,1.6112338068064734e-07
1558,9.427788855383663e-08
1559,9.657751958428244e-08
1560,1.4146432749132418e-07
1561,1.1606842544560836e-06
1562,1.8143599024507943e-07
1563,8.156858525335781e-07
1564,7.296519759238397e-05
1565,1.4091317218896305e-07
1566,1.5581791678572273e-07
1567,8.08772117907014e-05
1568,5.318959988924339e-07
1569,2.660530926574017e-07
1570,1.838173475058976e-07
1571,1.916814530466161e-07
1572,3.8922818133402444e-07
1573,3.572163582570937e-07
1574,1.0533811845135635e-07
1575,1.2034793339594545e-07
1576,6.166507913968788e-07
1577,2.9521600816466706e-07
1578,3.4395316411407305e-07
1579,1.6182712504525566e-05
1580,1.6160941995240844e-07
1581,3.154476381293419e-07
1582,3.10708533407447e-07
1583,1.6517208293498104e-07
1584,8.336237579033778e-08
1585,6.113368812521915e-08
1586,5.035352380926899e-08
1587,1.1697805449870615e-05
1588,3.192226829142352e-08
1589,3.997184878098876e-08
1590,4.08659578725257e-08
1591,4.1976603119751846e-08
1592,1.1894671468491598e-07
1593,2.6113012216393934e-06
1594,2.1024765169569423e-07
1595,3.056667743085001e-08
1596,2.5445853209984938e-08
1597,2.1267054660580315e-08
1598,2.0643805748109935e-08
1599,1.6847494749445686e-06
1600,3.7856987384875914e-08
1601,1.7413288134680764e-08
1602,3.1050536893026256e-08
1603,2.2022308402835902e-08
1604,1.578490452364614e-08
1605,3.961897115355972e-08
1606,1.232947841540792e-08
1607,2.3557566206210428e-08
1608,7.39071055647667e-08
1609,2.800608874367743e-08
1610,2.7404205423605972e-08
1611,0.0008049360360411897
1612,1.9929822444766677e-08
1613,2.17198807954668e-08
1614,2.032725952654336e-08
1615,1.5918364044052252e-08
1616,3.4632677849214047e-08
1617,8.416760492184874e-08
1618,3.2313205752945134e-07
1619,7.552818015692894e-08
1620,3.9793604199783836e-08
1621,3.259558020887395e-07
1622,2.995289775936631e-08
1623,9.725754516676205e-08
1624,3.899762449442706e-08
1625,8.337241610013378e-06
1626,3.7947092915356734e-08
1627,3.9606887651261325e-08
1628,8.498721319037554e-08
1629,3.2927421850608696e-08
1630,5.150811683504699e-08
1631,5.0073448827986794e-08
1632,5.305399074398825e-08
1633,2.3443978169341953e-07
1634,5.924053962757724e-08
1635,4.868248898264106e-07
1636,1.3997239269663663e-07
1637,8.516014386029768e-07
1638,3.6794021998780293e-05
1639,8.632793286179209e-05
1640,6.108904428718944e-07
1641,6.085122955761874e-07
1642,2.3960695303079958e-05
1643,2.6835351534208774e-07
1644,7.480546591678799e-07
1645,1.4602039535727305e-06
1646,2.649685012624329e-07
1647,1.9508346820850616e-07
1648,5.554456308221297e-07
1649,3.319352880496513e-07
1650,1.2894991557292313e-06
1651,2.081041047111448e-07
1652,2.0636603021089708e-07
1653,1.96322174146903e-07
1654,1.517047871475648e-07
1655,5.687209290894785e-07
1656,9.858134454169383e-08
1657,1.440034411585927e-07
1658,1.842138702814785e-07
1659,1.1048514056717467e-07
1660,1.3033280184169833e-07
1661,1.7411473189584132e-06
1662,6.80753635674336e-08
1663,5.677536374293501e-07
1664,6.665111242259865e-08
1665,2.979443039518484e-06
1666,9.269257436860196e-08
1667,9.145008610101266e-08
1668,8.35405377980222e-08
1669,9.27777182267243e-08
1670,6.855733971121574e-08
1671,6.459270258214768e-08
1672,6.280681665892117e-08
1673,1.88154615962514e-06
1674,6.584972247817438e-08
1675,8.542739515254859e-08
1676,1.024009352074047e-07
1677,1.1358088528635335e-07
1678,9.896041120937879e-08
1679,1.6157499473936653e-07
1680,1.5689713153514417e-07
1681,3.432270390349644e-07
1682,1.217217112725664e-07
1683,9.894275404481418e-08
1684,7.744798757697194e-08
1685,9.819850539982663e-08
1686,7.76911341462437e-08
1687,1.0163546730554773e-07
1688,4.2036643389599094e-08
1689,4.46543059517617e-08
1690,4.248156276013912e-07
1691,6.077589495470817e-08
1692,2.23627816308463e-06
1693,5.947451607110109e-08
1694,7.052988853281591e-08
1695,7.158176876742023e-08
1696,6.813921492070666e-08
1697,2.5758932391893548e-08
1698,3.086237313024232e-08
1699,2.6068340148838682e-08
1700,5.096418446786864e-08
1701,2.4146486838374457e-08
1702,3.4664451733628e-08
1703,4.4380067534814885e-08
1704,4.495570840714856e-08
1705,2.6954036605683794e-07
1706,4.2726672065196745e-08
1707,3.116766971682827e-08
1708,5.2285556739483546e-08
1709,1.2968725830611939e-06
1710,7.120767468483063e-08
1711,8.341946019324555e-08
1712,2.814120340725934e-06
1713,7.01420596681679e-08
1714,3.077774320411767e-07
1715,4.0266591193038044e-07
1716,3.864885543184883e-06
1717,2.3359437780951758e-07
1718,6.064700097751205e-07
1719,5.31000453142598e-07
1720,4.013211050918282e-07
1721,0.00016748781119234666
1722,3.720643768648854e-07
1723,5.61680085454129e-07
1724,4.0888281149934183e-07
1725,6.330325435730198e-07
1726,3.4998359224994504e-07
1727,9.63079222534174e-07
1728,2.422332161442562e-07
1729,7.570931225579636e-07
1730,0.00011701726375097196
1731,1.9702317736341677e-07
1732,2.1770405198560987e-07
1733,1.993430785111617e-07
1734,1.202662781816208e-07
1735,2.794770772020004e-07
1736,1.610911175230747e-07
1737,1.1992893708870706e-07
1738,1.5123309286540568e-07
1739,1.0812802486903147e-07
1740,9.247795593695796e-08
1741,1.4443030277165351e-07
1742,1.1527405506789057e-07
1743,1.236386616678726e-07
1744,5.666291343687768e-07
1745,1.8462015865433103e-07
1746,1.2460252832126308e-07
1747,1.0855534380168363e-07
1748,2.532740345541584e-06
1749,4.968485959006871e-05
1750,1.1773397146502624e-07
1751,6.414954754426978e-08
1752,5.247430831249052e-08
1753,5.307909178830369e-08
1754,8.069065726810143e-08
1755,7.218130190298914e-08
1756,7.564163823197235e-08
1757,7.279956435286561e-08
1758,6.010557390225446e-08
1759,3.378549801803596e-08
1760,7.771026393615955e-06
1761,4.4332044966033893e-08
1762,9.349633786268065e-08
1763,5.163122562765944e-08
1764,8.480959937421781e-08
1765,5.750119100296314e-06
1766,2.2793679550886188e-06
1767,2.2016823518570194e-07
1768,9.348853109274184e-08
1769,1.6324733768195524e-07
1770,1.4453285511432374e-07
1771,1.0062078115715101e-07
1772,2.51170087966077e-07
1773,1.515452686203017e-06
1774,1.3031545882145258e-06
1775,2.4152710151577497e-07
1776,1.1864335696121093e-06
1777,1.5388773056208893e-07
1778,1.3472199324509815e-07
1779,1.8080070182468743e-07
1780,1.7097683195408507e-06
1781,1.796206790129668e-07
1782,1.8687807751108274e-07
1783,7.266520012678729e-07
1784,1.1406752264646546e-07
1785,1.6523309840537802e-07
1786,1.4391609501680768e-07
1787,6.599666191669503e-07
1788,1.0384922459726323e-07
1789,2.655757657206035e-05
1790,1.7883848653562068e-05
1791,2.0334429496160948e-07
1792,1.7460425203516085e-07
1793,2.1161065487447442e-07
1794,1.8036623960872734e-06
1795,2.2246072897293057e-05
1796,1.7415759428817173e-07
1797,4.0972039763532516e-07
1798,1.485143189282059e-07
1799,3.349803847440461e-07
1800,9.292608465142532e-07
1801,2.944950193531001e-07
1802,3.163271531697466e-07
1803,2.89272429973761e-07
1804,2.302785787775798e-07
1805,2.677392398883573e-07
1806,2.4132295798829705e-07
1807,4.0277498017457684e-07
1808,4.172175307523906e-07
1809,3.8446785889975256e-07
1810,5.055695969237528e-07
1811,2.3490952659977337e-07
1812,1.8261966101442012e-07
1813,2.7504979685860095e-07
1814,3.3643758712819427e-06
1815,4.710460633616366e-06
1816,1.961768272910836e-07
1817,2.048239931371117e-07
1818,3.2579190015253006e-07
1819,6.805884575783726e-07
1820,8.711440878692714e-08
1821,1.6093414962096765e-07
1822,1.0222198274362439e-07
1823,1.1931797925810475e-06
1824,2.560327539319436e-07
1825,5.5894440057019365e-08
1826,5.926145249740836e-08
1827,8.170218733392485e-08
1828,8.154060021273532e-08
1829,5.281112837151021e-08
1830,4.165179795361056e-08
1831,3.985747462998516e-08
1832,2.1011409355469032e-07
1833,8.437005498270059e-08
1834,6.674933363003266e-08
1835,6.793834263633797e-08
1836,9.709193991902521e-08
1837,7.067636707841317e-08
1838,1.2626666350180206e-07
1839,1.8554431710871207e-07
1840,1.8334573226510878e-07
1841,1.6388442061001566e-07
1842,6.232168071669395e-08
1843,1.0043437359308372e-07
1844,8.312877385545466e-08
1845,1.140784316346441e-07
1846,3.3172659101448335e-07
1847,1.0061023820960782e-07
1848,1.215976892010327e-07
1849,4.2643809991750353e-07
1850,7.459851634721662e-07
1851,2.542532590663356e-07
1852,1.310806820882168e-07
1853,2.403897197271466e-07
1854,9.21994202924677e-08
1855,1.1227375231946196e-07
1856,1.1997260651827708e-07
1857,1.54505971337385e-07
1858,2.4039893853382004e-07
1859,1.1568169459044963e-07
1860,1.7220106071080845e-07
1861,1.8061359884977405e-07
1862,1.822716538960064e-07
1863,2.0780700685985766e-07
1864,1.752534730477999e-07
1865,1.3675401991077329e-07
1866,1.2797500091559654e-07
1867,2.2735100211807008e-07
1868,3.3532543118605346e-07
1869,2.091959665416207e-07
1870,1.59109205349644e-07
1871,3.667845651418743e-07
1872,6.865846150405316e-07
1873,4.000990400717745e-06
1874,5.603125811471535e-07
1875,9.457071542182679e-07
1876,0.00010264183549558282
1877,4.15780830106185e-07
1878,3.531471407471939e-07
1879,3.87939407622471e-07
1880,1.089788426109744e-05
1881,1.0962576298582448e-06
1882,9.33548173310877e-06
1883,1.188802415590784e-06
1884,3.182045657039416e-06
1885,7.69941637769103e-07
1886,7.732939803745155e-07
1887,9.675246818414613e-07
1888,2.4242269196334597e-07
1889,2.0046523050038117e-07
1890,2.2356583966002457e-07
1891,9.42468210667521e-07
1892,1.1716550651683707e-07
1893,1.8803166499122432e-07
1894,1.0647122785451649e-07
1895,1.0224741366880117e-07
1896,1.1149618810638895e-07
1897,9.922856146959103e-08
1898,2.0541268376565206e-06
1899,6.450626059688045e-08
1900,7.717624792340121e-08
1901,4.7887952526671444e-08
1902,3.883276150040005e-08
1903,0.0015211516358462828
1904,1.066140010999025e-07
1905,2.034964979905876e-06
1906,6.252021105468837e-08
1907,8.948117026727511e-06
1908,2.2088123391980098e-05
1909,6.673165059918942e-08
1910,8.45746173844053e-08
1911,6.804917731573186e-08
1912,6.66391180387866e-08
1913,1.0915065733136061e-07
1914,5.126528683005693e-08
1915,7.305041784637332e-08
1916,2.936570031120213e-07
1917,5.39010196355129e-08
1918,5.6351091079266606e-08
1919,6.507025071711444e-08
1920,3.6180687323992095e-08
1921,9.521871146591885e-08
1922,4.560771454716959e-08
1923,5.057025271281971e-08
1924,2.2185689445008346e-07
1925,3.792877372108748e-08
1926,5.608131906367282e-08
1927,4.810130044236408e-08
1928,5.1728305539418374e-08
1929,1.0857154348594766e-07
1930,6.479805569964931e-07
1931,7.800260701623952e-08
1932,8.738602940059765e-08
1933,1.1254027670036104e-07
1934,1.0949405959685454e-07
1935,3.565223430001186e-07
1936,1.4594867928131593e-07
1937,2.2574758844595343e-07
1938,1.47711715973771e-07
1939,2.2095058274554778e-07
1940,1.2650734776839764e-07
1941,2.102769928587535e-07
1942,1.4893100484038412e-07
1943,9.644271293831528e-08
1944,4.739812496339008e-07
1945,2.275399310852476e-07
1946,1.2116563128853595e-07
1947,9.901765160783081e-08
1948,1.1618209993453288e-05
1949,8.494220257803401e-07
1950,1.4965457713867001e-07
1951,8.711442844752586e-07
1952,1.5325982115803746e-06
1953,4.104015716621785e-05
1954,6.343547852594447e-07
1955,8.201084861986102e-07
1956,4.651081634560124e-06
1957,9.840498680994448e-06
1958,5.531396371472113e-07
1959,5.529949174446646e-07
1960,6.364444689831607e-07
1961,1.2644379757752917e-06
1962,8.320579955057265e-07
1963,9.630179018119437e-07
1964,1.6147235924371198e-06
1965,2.9206436451885865e-07
1966,2.51238200288715e-07
1967,1.2061318139995326e-06
1968,2.4496502853406763e-07
1969,2.697404715327879e-07
1970,1.5653182528764663e-07
1971,1.3446051234532147e-07
1972,1.6852874886265906e-07
1973,1.9172725430294586e-07
1974,1.269717752878574e-07
1975,1.2262769402652897e-07
1976,1.2401434723195066e-07
1977,9.246344106530879e-07
1978,6.271903957691956e-06
1979,2.968443960821702e-07
1980,1.3620282472017705e-07
1981,2.3447216021451274e-07
1982,1.0411966601412155e-06
1983,1.3997306127419204e-05
1984,8.654893478406844e-08
1985,1.1844255696243116e-07
1986,1.1087998197623933e-07
1987,1.4561393947122513e-06
1988,1.0542510336871014e-07
1989,6.720826537886195e-08
1990,1.6105064929020196e-07
1991,2.996356376382476e-07
1992,1.2531479621624837e-07
1993,8.776053275954048e-07
1994,2.6344352220317324e-07
1995,7.72864047011394e-08
1996,7.77757159562603e-08
1997,5.398951263068995e-07
1998,1.054249677312264e-07
1999,1.1291017805450773e-07
2000,1.9335451110623098e-07
2001,1.501250752998196e-07
2002,2.821896541797852e-07
2003,2.8704619271774385e-05
2004,1.8282328524589943e-07
2005,2.4331025605424403e-06
2006,4.805581824677057e-07
2007,5.227242788343032e-07
2008,2.552980374890127e-07
2009,2.363328064779801e-07
2010,4.736220564698077e-07
