time,C.N,EMC.N,HPQ.N,MDT.N,MO.N,NKE.N,PG.N,RTN.N,SO.N,TWX.N,WFC.N
2008-02-01 09:30:00,-0.28312530281005677,0.09491577162860973,-0.22848931422107907,0.34442187593371787,0.3334852716107441,0.0773263862636822,0.23419524914104325,0.242347138529112,0.09265513200959326,0.12378261847917016,-0.03151482656453731
2008-02-01 09:35:00,-0.2859852425610468,0.11975348637857489,-0.22987504086833355,0.4277919979105108,0.22437630602867967,0.02315323816219862,0.3186588743950766,0.28306466825716126,0.09396373482307642,0.043184257528725095,-0.018086280054623358
2008-02-01 09:40:00,-0.17562494883100987,0.06848685782578146,-0.17493697653900317,0.13930532592242642,0.3410435163869809,0.14450392864162645,0.28365322139447047,0.17330215956751227,0.14468575791416252,-0.0006985182366789367,0.05627967595373208
2008-02-01 09:45:00,-0.16604389650205473,0.0765867458736797,-0.16853067137067343,0.09193241651675867,0.3177233546395446,0.12997992950634502,0.33218075662553037,0.16768641210437865,0.1715196440907914,-0.003404592383786804,0.05036990089948791
2008-02-01 09:50:00,-0.1306189923483282,0.05211757403201155,-0.16631091519271088,0.09828006421806161,0.33671664529365447,0.1653369781828435,0.2510662772554248,0.18842360335558192,0.16632385262585364,-0.015583015918923946,0.054247928496530144
2008-02-01 09:55:00,-0.09817012713966759,0.05200406399404964,-0.1570277848621777,0.04077524693258039,0.35993784710488963,0.16171837677425363,0.2707980195451109,0.10698079126023546,0.21854328652928334,-0.021689213138195912,0.06612949299963922
2008-02-01 10:00:00,-0.09889376849887717,0.056242366888892746,-0.1366413447655688,0.06087886231683334,0.34850490376550214,0.1559975721266632,0.22052091659516215,0.12301220627963404,0.2144310472960071,-0.009253487763228319,0.06520072575897967
2008-02-01 10:05:00,-0.11124106115663225,0.07583994124915787,-0.15128156076771299,0.05389669503719983,0.31195933547849414,0.1405824887901402,0.2857902503288305,0.1178979533815519,0.2269038841389591,-0.00834262382619587,0.057994697346207456
2008-02-01 10:10:00,-0.1495982329095355,0.08033067958048917,-0.12512754530148498,0.045234267505493024,0.30610824071779336,0.10586874067415628,0.3398151314038145,0.14476070313403808,0.1906607430823783,0.0014719898507295185,0.06047528226212816
2008-02-01 10:15:00,-0.10334210885430269,0.08011063970345499,-0.15026828427492595,0.15000891412819667,0.28098148788520977,0.1514859172547621,0.14639724689877498,0.16851510040479487,0.2168380835799827,0.010234277441335267,0.0490387258327165
2008-02-01 10:20:00,-0.09118573441018146,0.06135978553567905,-0.1543532077140437,0.1389576754085439,0.3129077696599109,0.15988869160313646,0.1454384069041777,0.15420985056476721,0.22141420137549842,0.0008428668675690398,0.05051969420494292
2008-02-01 10:25:00,-0.024069419900120785,0.10612000528096172,-0.015767202562146955,0.08684152146708525,0.1909751013997531,0.025510916242113133,0.1275152742573174,0.37132232562440104,0.09523285257982761,-0.011159480210341627,0.0474781058211498
2008-02-01 10:30:00,0.0008483535078257251,0.07280974304519566,0.02323666775905393,0.13970584850651271,0.21773018024206475,-0.0025690832945085,0.07728473358693515,0.3413166373185225,0.11298520751104243,-0.01658890808683518,0.033240619904190874
2008-02-01 10:35:00,-0.025384443872616447,0.05276988577956973,0.005819250763763573,0.1603960900531671,0.21237906154758995,0.025836533560595825,0.0028602505896751424,0.4015865722038558,0.1393554645779297,-0.011918061911559492,0.03629939670802899
2008-02-01 10:40:00,-0.005331201485546276,0.03901650329225258,-0.004932471575740693,0.3764708763385715,0.17978993761163484,-0.038427711650937786,0.010346840780822214,0.2019445180588736,0.19081752424848905,0.03533249744502012,0.01497268693656051
2008-02-01 10:45:00,-0.007545570707261391,0.03448526060382602,-0.0026920642234291733,0.46183654379423716,0.21528476958153306,-0.0006165939166837659,-0.007222780566132004,0.12239566449224916,0.17333634175284957,0.0242635737011274,-0.01352514451231638
2008-02-01 10:50:00,-0.016873099525501044,0.07326041072151834,0.020796656349947745,0.4150967004077769,0.24177474186719708,0.031788828539051676,0.054311352892352525,0.0501302323381029,0.15191118587654964,0.007917135870385934,-0.0301141453373822
2008-02-01 10:55:00,-0.024474496568930186,0.02899361398830103,0.0314457550502318,0.5104954252823668,0.3580438250839922,0.08872463923187413,0.03310820531946619,0.08640357667207824,-0.02016588621016143,-0.022125046549573285,-0.07044961129964551
2008-02-01 11:00:00,-0.02065908429602765,0.02600109201999723,0.011500289114878454,0.477352598848571,0.37515948655072656,0.07349157115214634,0.03260924519458695,0.10978006940826024,-0.006554263685129483,-0.025066590139865525,-0.05361441416814349
2008-02-01 11:05:00,0.0057829915701647205,0.023509977840409355,-0.0028924137536205556,0.4913979907827809,0.4218177691861722,0.05591141357173819,0.014235344955733769,0.05986711568671914,-0.027503114284199645,0.0347950659550422,-0.07692214151094078
2008-02-01 11:10:00,0.00032942861433664996,-0.021271695666336188,0.0727022617790486,0.47495420492972473,0.16122178347556274,0.04928914191884613,0.06868239230261494,0.062160110503587676,0.2161524645606232,0.006960191297483815,-0.09118028371549287
2008-02-01 11:15:00,-0.035159286239203134,-0.04653069787052603,0.07973446100330168,0.3474850033655978,0.13477185190332683,-0.010998294491946274,0.19313506825666582,0.059404046256295924,0.3100105976668612,-0.009389342688020302,-0.022463407162353538
2008-02-01 11:20:00,-0.04938527570495102,-0.034981685053186176,0.058283182410815274,0.35771992940777253,0.09582316794812283,0.009502568516401098,0.184555553656543,0.019558165436848705,0.3372304033770962,0.03801589862383798,-0.016321908619299923
